,Price,Qty
2015-08-04 00:01:53.423000,119.9375,1.0
2015-08-04 00:02:17.760000,119.9375,1.0
2015-08-04 00:03:04.920000,119.9375,1.0
2015-08-04 00:03:04.920000,119.9375,3.0
2015-08-04 00:03:04.920000,119.9375,3.0
2015-08-04 00:03:04.920000,119.9375,4.0
2015-08-04 00:03:04.920000,119.9375,15.0
2015-08-04 00:03:04.920000,119.9375,4.0
2015-08-04 00:03:04.923000,119.9375,11.0
2015-08-04 00:03:04.923000,119.9375,4.0
2015-08-04 00:03:04.923000,119.9375,3.0
2015-08-04 00:03:04.923000,119.9375,2.0
2015-08-04 00:03:04.927000,119.9375,4.0
2015-08-04 00:03:04.927000,119.9375,1.0
2015-08-04 00:03:04.927000,119.9375,19.0
2015-08-04 00:03:04.927000,119.9375,1.0
2015-08-04 00:03:04.927000,119.9375,1.0
2015-08-04 00:03:04.927000,119.9375,8.0
2015-08-04 00:03:04.927000,119.9375,4.0
2015-08-04 00:03:04.927000,119.9375,3.0
2015-08-04 00:03:04.927000,119.9375,1.0
2015-08-04 00:03:04.927000,119.9375,1.0
2015-08-04 00:03:04.927000,119.9375,1.0
2015-08-04 00:03:04.927000,119.9375,1.0
2015-08-04 00:03:04.927000,119.9375,1.0
2015-08-04 00:03:04.927000,119.9375,1.0
2015-08-04 00:03:04.927000,119.9375,1.0
2015-08-04 00:03:04.933000,119.9375,4.0
2015-08-04 00:04:22.457000,119.9375,1.0
2015-08-04 00:04:22.457000,119.9375,2.0
2015-08-04 00:04:22.457000,119.9375,16.0
2015-08-04 00:04:22.457000,119.9375,4.0
2015-08-04 00:04:22.457000,119.9375,3.0
2015-08-04 00:04:22.457000,119.9375,4.0
2015-08-04 00:04:22.457000,119.9375,3.0
2015-08-04 00:04:22.457000,119.9375,3.0
2015-08-04 00:04:22.457000,119.9375,9.0
2015-08-04 00:04:22.457000,119.9375,1.0
2015-08-04 00:04:22.457000,119.9375,1.0
2015-08-04 00:04:22.457000,119.9375,10.0
2015-08-04 00:04:22.457000,119.9375,1.0
2015-08-04 00:04:28.957000,119.9375,7.0
2015-08-04 00:04:51.020000,119.9375,1.0
2015-08-04 00:11:00.080000,119.9375,1.0
2015-08-04 00:12:06.537000,119.9297,91.0
2015-08-04 00:14:11.437000,119.9375,1.0
2015-08-04 00:14:11.437000,119.9375,3.0
2015-08-04 00:18:29.860000,119.9375,1.0
2015-08-04 00:18:38.703000,119.9375,1.0
2015-08-04 00:18:51.230000,119.9375,1.0
2015-08-04 00:19:22.890000,119.9375,38.0
2015-08-04 00:20:51.020000,119.9297,9.0
2015-08-04 00:20:51.020000,119.9297,1.0
2015-08-04 00:20:51.020000,119.9297,1.0
2015-08-04 00:20:51.020000,119.9297,5.0
2015-08-04 00:20:51.023000,119.9297,5.0
2015-08-04 00:20:51.023000,119.9297,3.0
2015-08-04 00:20:51.023000,119.9297,6.0
2015-08-04 00:20:51.023000,119.9297,5.0
2015-08-04 00:20:51.023000,119.9297,5.0
2015-08-04 00:20:51.023000,119.9297,15.0
2015-08-04 00:20:51.023000,119.9297,3.0
2015-08-04 00:20:51.023000,119.9297,1.0
2015-08-04 00:20:51.023000,119.9297,1.0
2015-08-04 00:20:51.023000,119.9297,1.0
2015-08-04 00:20:51.023000,119.9297,3.0
2015-08-04 00:20:51.023000,119.9297,1.0
